guideId,outletId,originType,mode,provider,line,boardingPoint,destination,estimatedDurationMin,estimatedDurationMax,estimatedFareMin,estimatedFareMax,currency,fareAccuracy,sourceNote,officialCheckNote,confidence,officialProviderUrl,operator,alightingPoint,suppressDerivedDurationFallback,transferPoints,displayDuration,walkNote,displayFare,checkedAt,sourceUrls,fareUnit
amsterdam-centraal-to-amsterdam-style-outlets-train-walk,amsterdam-the-style-outlets,cityCenter,train,NS,Amsterdam Centraal → Halfweg-Zwanenburg,Amsterdam Centraal,Amsterdam The Style Outlets,,,4,6,EUR,estimated,The official outlet publishes an approximately 10-minute train position from Amsterdam Centraal and a direct station connection. The estimated EUR 4–6 range conservatively covers the NS rail ticket; the final walk is free. Check the current NS journey price and do not present the rail indication as a verified door-to-door duration.,,exact,https://amsterdam.thestyleoutlets.nl/en/how-to-get-there,NS,Halfweg-Zwanenburg,true,,,Halfweg-Zwanenburg has a direct pedestrian connection to Amsterdam The Style Outlets.,,,,
amsterdam-to-batavia-stad-train-bus,batavia-stad-fashion-outlet,cityCenter,train,NS / RRReis,Amsterdam Centraal → Lelystad Centrum,Amsterdam Centraal,Batavia Stad Fashion Outlet,,,15,20,EUR,estimated,The estimated EUR 15–20 total range conservatively covers the NS connection to Lelystad Centrum and RRReis Line 13 to Batavia Stad; check both current operator prices before travel.,,partial,https://www.rrreis.nl/lelystad,NS / RRReis,Lelystad Centrum,true,"[""13 → Batavia Stad""]",,,,,,
cardiff-to-bridgend-designer-outlet-public-transport,bridgend-designer-outlet,cityCenter,train,Transport for Wales,Cardiff Central → Bridgend,Cardiff Central,McArthurGlen Designer Outlet Bridgend,,,10,25,GBP,estimated,"The estimated GBP 10–25 adult one-way total covers the Transport for Wales standard-class train from Cardiff Central to Bridgend plus the separate local bus toward Sainsbury’s. It allows for advance, off-peak, anytime, booking and local-bus ticket variation, avoids assuming an integrated through ticket, and excludes Railcards, premium fares and the free final walk from Sainsbury’s; check both current journey prices before travel. No total duration is published.",,partial,https://www.mcarthurglen.com/en/outlets/uk/designer-outlet-bridgend/plan-your-visit/,Transport for Wales,Bridgend,true,"[""Bridgend → Sainsbury's""]",,Sainsbury's is less than five minutes on foot from the outlet.,,,,
gretna-to-caledonia-park-public-transport,caledonia-park,station,walking,,,Gretna Green,Caledonia Park,,,,,,,The official centre page describes Gretna Green station as a short walk from Caledonia Park; no exact walking duration is published.,,exact,https://caledoniapark.com/getting-here/,,,true,,,,,,,
street-to-clarks-village-car,clarks-village,taxiUber,taxi,,,Street,Clarks Village,,,5,10,GBP,estimated,"The estimated GBP 5–10 total covers only a licensed local taxi from the stored Street origin to Clarks Village on a normal daytime journey. It conservatively allows for the local minimum charge or short distance; traffic, waiting, luggage, night, weekend and booking conditions can change the fare. Travel to Street is excluded; confirm the current total when booking.",,partial,https://www.clarksvillage.co.uk/en/plan-my-visit/getting-here,,,true,,,,,,,
durham-to-dalton-park-public-transport,dalton-park,cityCenter,bus,Go North East,65,Durham,Dalton Park,,,3,6,GBP,estimated,"The official outlet lists Go North East service 65 between Durham and Dalton Park. The estimated adult one-way range covers that bus only, excludes travel to Durham and the final walk, and does not treat a temporary fare cap as a permanent exact fare; check the current operator fare before travel.",,exact,https://www.dalton-park.co.uk/getting-here/,Go North East,Dalton Park,true,,,,,,,
nottingham-to-east-midlands-designer-outlet-car,east-midlands-designer-outlet,taxiUber,taxi,,,Nottingham,Frasers Plus Designer Outlet East Midlands,,,40,70,GBP,estimated,"The estimated GBP 40–70 total covers only a licensed taxi or verified private-hire journey from the stored Nottingham origin to Frasers Plus Designer Outlet East Midlands under normal daytime conditions. It is conservatively derived from the documented Nottingham-to-outlet road distance and local licensed-taxi tariff basis; free outlet parking is excluded. Traffic, waiting, luggage, minimum charge, night, weekend and booking conditions can change the fare; confirm the current quote before travel.",,partial,https://fraserspluseastmidlands.com/,,,true,,,,,,,
blackpool-to-fleetwood-outlet-public-transport,fleetwood-outlet,cityCenter,bus,Blackpool Transport,1,Blackpool,Fleetwood Outlet,,,3,6,GBP,estimated,"The official outlet publishes Blackpool Transport service 1 from Blackpool to Affinity Lancashire. The estimated adult one-way range allows for current single-ticket and payment-method variation, excludes tram, rail, taxi and final walking alternatives, and is not a day-ticket price; check the current operator fare before travel.",,exact,https://www.fleetwoodoutlet.com/,Blackpool Transport,Affinity Lancashire,true,,,,,,,
edinburgh-glasgow-to-livingston-designer-outlet-public-transport,livingston-designer-outlet,cityCenter,bus,Lothian Country,X27 / X28,Edinburgh,Livingston Designer Outlet,,,3,6,GBP,estimated,"Livingston Designer Outlet publishes a bus terminal directly in front of the centre and regular Edinburgh services. The estimated adult one-way range covers Lothian Country X27 or X28 from the stored Edinburgh origin to Livingston Bus Terminal, excludes any Glasgow-origin travel and the final walk, and should be checked against the current operator fare.",,partial,https://www.lothianbuses.com/our-services/lothian-country/,Lothian Country,Livingston Bus Terminal,true,,,,,,,
spalding-to-springfields-outlet-public-transport,springfields-outlet,cityCenter,bus,Stagecoach,37,Spalding,Springfields Designer Outlet & Leisure,,,2,5,GBP,estimated,"The official Springfields page lists Stagecoach service 37 from Spalding. The estimated GBP 2–5 adult one-way range covers only that bus from the stored Spalding origin, excludes upstream rail, taxi, parking and final walking access, and does not treat a temporary fare cap as permanent exact pricing; check the current Stagecoach fare and timetable before travel.",,exact,https://springfieldsoutlet.co.uk/,Stagecoach,Springfields,true,,,,,,,
banbridge-to-the-boulevard-banbridge-public-transport,the-boulevard-banbridge,cityCenter,bus,Translink,330C,Banbridge Town Centre,The Boulevard Banbridge,,,3,7,GBP,estimated,"The official centre page publishes Translink service 330C from Banbridge Town Centre to Banbridge Outlet Park. The estimated GBP 3–7 adult one-way range covers only that stored journey, excludes Belfast, Dublin, airport and other upstream travel, parking and final pedestrian access, and does not treat any cap or promotion as permanent exact pricing; check the current Translink fare and timetable before travel.",,exact,https://the-boulevard.co.uk/,Translink,"Banbridge, Outlet Park (The Boulevard)",true,,,,,,,
hatfield-to-the-galleria-outlet-public-transport,the-galleria-outlet,station,walking,,,Hatfield Station,The Galleria Outlet Shopping Centre,25,25,,,,,,,exact,https://thegalleria.co.uk/pages/about,,,,,,,,,,
braintree-village-train-guide,braintree-village,station,walking,,,Braintree Freeport,Braintree Village,,,,,,,Greater Anglia identifies Braintree Freeport station as adjacent to Braintree Village; no exact walking duration is required.,,exact,https://www.greateranglia.co.uk/travel-information/station-information/btp,,,true,,,,,,,
affinity-sterling-mills-bus-guide,affinity-sterling-mills,cityCenter,bus,,,Stirling Bus Station,Affinity Sterling Mills,,,5,10,GBP,estimated,"The official outlet publishes regular bus connections toward Tillicoultry and identifies Stirling Bus Station as the nearest major bus station. The conservative operator-dependent GBP 5–10 adult one-way range covers only a currently verified bus connection from the stored Stirling Bus Station origin toward Tillicoultry and the outlet; it excludes ScotRail, Alloa and all upstream travel. Confirm the current operator, route, stop and fare before travel.",,partial,https://www.sterlingmills.com/find-us,,,true,,,,,,,
london-marylebone-to-bicester-train,bicester-village,cityCenter,train,Chiltern Railways,London Marylebone → Bicester Village,London Marylebone,Bicester Village,,,15,45,GBP,estimated,"The official Village page publishes the direct Chiltern Railways journey from London Marylebone to Bicester Village station. The conservative adult standard-class one-way range allows for advance, off-peak, anytime and booking-date variation; it excludes London or Heathrow connections, coach travel, Railcards, premium travel and the free final walk. Check the current Chiltern fare before travel.",,exact,https://www.thebicestercollection.com/bicester-village/en/getting-here/train/,Chiltern Railways,Bicester Village,true,,,,,,,
liverpool-to-cheshire-oaks-train-bus,cheshire-oaks,cityCenter,bus,Stagecoach,1 / X1,Liverpool,Cheshire Oaks Designer Outlet,,,3,6,GBP,estimated,Official Stagecoach services 1 and X1 connect Liverpool and Cheshire Oaks. The estimated adult one-way range allows for service and payment-method variation and covers only the documented bus from the stored Liverpool origin; no rail component or final walk is charged. Check the current Stagecoach fare before travel.,,exact,https://www.stagecoachbus.com/promos-and-offers/merseyside-and-south-lancashire/stagecoach-service-1---x1,Stagecoach,Cheshire Oaks,true,,,,,,,
london-to-ashford-designer-outlet-train,ashford-designer-outlet,cityCenter,train,Southeastern,London St Pancras International → Ashford International,London St Pancras International,Ashford Designer Outlet,,,20,50,GBP,estimated,"The official outlet publishes the Southeastern high-speed segment from London St Pancras International to Ashford International and a separate free final walk. The conservative adult standard-class one-way range allows for advance, off-peak, anytime and booking-date variation; it excludes other London terminals, Railcards, premium travel and the walk. Check the current Southeastern fare before travel.",,exact,https://www.mcarthurglen.com/en/outlets/uk/designer-outlet-ashford/plan-your-visit/,Southeastern,Ashford International,true,,,Ashford International is less than five minutes on foot from the outlet.,,,,
york-to-york-designer-outlet-public-transport,york-designer-outlet,cityCenter,bus,First York,7,York Railway Station,York Designer Outlet,,,3,5,GBP,estimated,"First York service 7 links York Railway Station with Designer Outlet Park & Ride. The estimated adult one-way range covers only Service 7 from the stored York origin, excludes rail travel to York, parking and final pedestrian access, and does not treat a temporary cap as an exact permanent fare. Check the current First York fare before travel.",,exact,https://www.firstbus.co.uk/york/routes-and-maps/york-park-ride/designer-outlet-park-ride,First York,Designer Outlet Park & Ride,true,,,,,,,
gloucester-to-gloucester-quays-public-transport,gloucester-quays,cityCenter,walking,,,Gloucester,Gloucester Quays,10,10,,,,,,,exact,https://gloucesterquays.co.uk/about-us/getting-here/,,,,,,,,,,
portsmouth-to-gunwharf-quays-public-transport,gunwharf-quays,cityCenter,walking,,,Portsmouth,Gunwharf Quays,,,,,,,Portsmouth Harbour and The Hard Interchange are the closest public transport connections for Gunwharf Quays; follow current signed pedestrian access.,,partial,https://www.gunwharf-quays.com/en/plan-my-visit/getting-here,,,true,,,,,,,
london-to-icon-outlet-at-the-o2-public-transport,icon-outlet-at-the-o2,cityCenter,metro,TfL,Jubilee → North Greenwich,,Outlet Shopping at The O2,20,20,3,7,GBP,estimated,"The current official O2 page publishes approximately 20 minutes from Central London to North Greenwich on the Jubilee line. The estimated GBP 3–7 adult one-way range covers TfL travel from the generic stored London city-centre origin to North Greenwich and allows for starting station, zone, peak, off-peak and payment-method variation; it excludes the free final walk to The O2, Uber Boat, taxi, airport and parking costs.",,exact,https://www.theo2.co.uk/visit-us/tube,London Underground,North Greenwich,,,,,,,,
london-to-london-designer-outlet-public-transport,london-designer-outlet,cityCenter,train,Chiltern Railways,London Marylebone → Wembley Stadium,London Marylebone,London Designer Outlet,,,4,10,GBP,estimated,"The official outlet publishes the Chiltern Railways segment from London Marylebone to Wembley Stadium; final pedestrian access is separate. The estimated GBP 4–10 adult standard-class one-way range allows for advance, walk-up, off-peak, anytime and purchase-condition variation and excludes Tube, bus, taxi, airport, parking, Railcards, premium fares and the free final walk.",,exact,https://www.londondesigneroutlet.com/getting-here/,Chiltern Railways,Wembley Stadium,true,,,,,,,
swindon-to-swindon-designer-outlet-public-transport,swindon-designer-outlet,cityCenter,walking,,,Swindon,Frasers Plus Designer Outlet Swindon,15,15,,,,,,,exact,https://designeroutletswindon.com/plan-my-visit/,,,,,,,,,,
birmingham-to-west-midlands-designer-outlet-public-transport,west-midlands-designer-outlet,cityCenter,bus,National Express West Midlands,X51,Birmingham,Designer Outlet West Midlands,,,3,6,GBP,estimated,"The official outlet publishes the National Express West Midlands X51 connection from Birmingham to Designer Outlet West Midlands. The estimated GBP 3–6 adult one-way range covers only that stored bus journey, excludes train, taxi, private transfer, parking and final pedestrian access, and does not treat a fare cap as permanent exact pricing; check the current operator fare and timetable.",,exact,https://prod-designer.mcarthurglen.com/en/outlets/uk/designer-outlet-west-midlands/plan-your-visit/,National Express West Midlands,Designer Outlet West Midlands,true,,,,,,,
doncaster-to-lakeside-village-public-transport,lakeside-village,cityCenter,bus,First South Yorkshire,372,Doncaster Interchange,Lakeside Village Outlet Shopping,,,2,5,GBP,estimated,"Current First South Yorkshire service 372 links Doncaster Interchange and Lakeside Village. The estimated GBP 2–5 adult one-way range covers only that bus from the stored Doncaster origin, excludes upstream rail, free customer parking and final pedestrian access, and does not treat a temporary fare cap as permanent exact pricing; check the current operator fare and timetable.",,exact,https://www.firstbus.co.uk/south-yorkshire/plan-journey/timetables?day=mf&service=371%2F372%2F373,First South Yorkshire,Lakeside Village,true,,,,,,,
leeds-to-junction-32-outlet-public-transport,junction-32-outlet,cityCenter,bus,Arriva Yorkshire / West Yorkshire Metro,141,Leeds City Bus Station,Frasers Plus Designer Outlet Leeds,,,3,6,GBP,estimated,"Current West Yorkshire Metro service 141 links Leeds City Bus Station and Junction 32 Outlet Village. The estimated adult one-way range covers that Arriva Yorkshire bus only, rather than a day pass; it excludes rail travel to Leeds and the final walk, and does not treat a temporary cap as a permanent exact fare. Check the current operator fare before travel.",,exact,https://wymetro.com/buses/bus-timetables/timetable/?ServiceNumber=141,Arriva Yorkshire,Junction 32 Outlet Village,true,,,,,,,
cologne-city-center-to-city-outlet-bad-munstereifel,city-outlet-bad-munstereifel,cityCenter,train,DB / VRS,RB24 → Euskirchen → S23,Köln Hbf,City Outlet Bad Münstereifel,,,10,20,EUR,estimated,The estimated EUR 10–20 total range covers the integrated DB/VRS rail journey from Köln Hbf via RB24 and S23 to Bad Münstereifel without double-counting the Euskirchen connection; the final walk is free. Check the current through-ticket fare before travel.,,exact,https://www.cityoutletbadmuenstereifel.com/en/plan-a-visit/approach/,DB / VRS,Bad Münstereifel,true,,,Bad Münstereifel station is approximately 150 metres from the pedestrian shopping zone.,,,,
berlin-city-center-to-designer-outlet-berlin,designer-outlet-berlin,shuttle,shuttle,Designer Outlet Berlin Shuttle,,Kurfürstendamm 225 / Hard Rock Café,Designer Outlet Berlin,30,30,,,,,Free direct shuttle on Fridays and Saturdays; event services may also be published.,,exact,https://www.designeroutletberlin.com/anfahrt/shuttle-bus,,,,,,,,,,
hamburg-city-center-to-designer-outlet-neumunster,designer-outlet-neumunster,cityCenter,train,DB / NAH.SH / Stadtwerke Neumünster,Hamburg Hbf → Neumünster Bahnhof → 7 / 77,Hamburg Hbf,Designer Outlet Neumünster,,,12,25,EUR,estimated,The estimated EUR 12–25 total range combines the Hamburg–Neumünster DB/NAH.SH rail component with the Stadtwerke Neumünster Bus 7/77 component. Check both current fares before travel.,,partial,https://inte-outlets.mcarthurglen.com/en/outlets/de/designer-outlet-neumuenster/plan-your-visit/by-public-transport/,DB / NAH.SH / Stadtwerke Neumünster,Designer Outlet Neumünster,true,,,,,,,
hannover-city-center-to-designer-outlets-wolfsburg,designer-outlets-wolfsburg,cityCenter,train,Deutsche Bahn,Hannover Hbf → Wolfsburg Hbf,Hannover Hbf,Designer Outlets Wolfsburg,,,15,30,EUR,estimated,The estimated EUR 15–30 range covers the variable Deutsche Bahn fare from Hannover Hbf to Wolfsburg Hbf; the two-minute final walk is free. Check the current DB journey price before travel.,,partial,https://www.designeroutlets-wolfsburg.de/en/getting-there/,Deutsche Bahn,Wolfsburg Hbf,true,,,Designer Outlets Wolfsburg is approximately two minutes on foot from Wolfsburg Hbf.,,,,
munich-city-center-to-ingolstadt-village-train-bus,ingolstadt-village,cityCenter,train,DB / VGI,München Hbf → Ingolstadt Hbf → 22,München Hbf,Ingolstadt Village,,,20,35,EUR,estimated,The estimated EUR 20–35 total range combines the variable DB rail fare from München Hbf to Ingolstadt Hbf with the VGI Line 22 bus fare to Ingolstadt Village. Check both current operator prices before travel; the amount is not the bus-only fare.,,exact,https://www.thebicestercollection.com/ingolstadt-village/en/getting-here/train/,DB / VGI,Ingolstadt Village,true,,,,,,,
frankfurt-city-center-to-montabaur-the-style-outlets,montabaur-the-style-outlets,cityCenter,train,Deutsche Bahn,Frankfurt (Main) Hbf → Montabaur ICE,Frankfurt (Main) Hbf,Outlet Montabaur,,,18,35,EUR,estimated,The estimated EUR 18–35 range allows for advance and flexible DB/ICE ticket variation from Frankfurt (Main) Hbf to Montabaur ICE; the final walk is free. Check the current DB journey price before travel.,,partial,https://www.montabaur.de/leben/einkaufen-in-montabaur/ice-park-montabaur/,Deutsche Bahn,Montabaur ICE,true,,,Outlet Montabaur is located in the ICE-Park directly beside Montabaur ICE.,,,,
stuttgart-city-center-to-outletcity-metzingen,outletcity-metzingen,cityCenter,train,DB / bwegt,RE6 / MEX12 / MEX18,Stuttgart Hbf,Outletcity Metzingen,,,10,15,EUR,estimated,The estimated EUR 10–15 range covers the regional rail journey from Stuttgart Hbf to Metzingen (Württ) on RE6/MEX12/MEX18; the final walk is free. Check the current DB/bwegt fare before travel; the separate shopping-shuttle price is not included.,,exact,https://www.outletcity.com/en/metzingen/getting-there/train-station-metzingen/,DB / bwegt,Metzingen (Württ),true,,,Outletcity is a few minutes on foot from Metzingen (Württ).,,,,
frankfurt-city-center-to-wertheim-village,wertheim-village,shuttle,shuttle,Wertheim Village Shopping Express,,Frankfurt,Wertheim Village,,,20,35,EUR,estimated,The current Shopping Express fare could not be reverified as an exact official amount. The conservative estimated EUR 20–35 return range covers the recommended direct Frankfurt–Wertheim Village Shopping Express round trip; check the current official fare and booking terms before travel and do not rely on expired promotions.,,exact,https://www.thebicestercollection.com/wertheim-village/en/services/shopping-express/,,,true,,,,,,,
saarbrucken-city-center-to-zweibrucken-fashion-outlet,zweibrucken-fashion-outlet,cityCenter,train,DB / VRN / Stadtbus Zweibrücken,Saarbrücken Hbf → Zweibrücken → Stadtbus,Saarbrücken Hbf,Zweibrücken Fashion Outlet,,,8,15,EUR,estimated,"The estimated EUR 8–15 total range combines the regional rail journey from Saarbrücken to Zweibrücken with the current official city-bus connection to the outlet, allowing for DB/VRN/SaarVV fare coverage. Check current rail and bus prices before travel; the amount is not the local-bus-only fare.",,partial,https://www.viaoutlets.com/portfolio/zweibrucken-fashion-outlet,DB / VRN / Stadtbus Zweibrücken,Zweibrücken Fashion Outlet,true,,,,,,,
halle-leipzig-style-outlets-saturday-shuttle,halle-leipzig-the-style-outlets,shuttle,shuttle,Halle Leipzig Free Shuttle,,Leipzig Hbf – Bussteig O / Halle (Saale) Hbf – Bussteig 5,Halle Leipzig The Style Outlets,,,,,,,Free Saturday service from Leipzig and Halle; reservation required.,,exact,https://halle.leipzig.thestyleoutlets.de/en/services/free-shuttle-bus-service,,,true,,,,,,,
muenster-to-designer-outlet-ochtrup-train-walk,designer-outlet-ochtrup,cityCenter,train,Deutsche Bahn,Münster Hbf → Ochtrup Bahnhof,Münster Hbf,Designer Outlet Ochtrup,,,8,15,EUR,estimated,The estimated EUR 8–15 range covers the regional rail fare from Münster Hbf to Ochtrup Bahnhof; the official 20-minute final walk is free. Check the current Deutsche Bahn fare before travel; no paid local transfer is included.,,exact,https://prod-www.mcarthurglen.com/en/outlets/de/designer-outlet-ochtrup/plan-your-visit-/arrival/by-public-transport/,Deutsche Bahn,Ochtrup Bahnhof,true,,,The official outlet page publishes a 20-minute walk from Ochtrup Bahnhof.,,,,
madrid-moncloa-to-las-rozas-bus,las-rozas-village,cityCenter,bus,CRTM,625 / 628 / 629,Intercambiador de Moncloa,Las Rozas Village,30,30,2,5,EUR,estimated,"The estimated EUR 2–5 fare covers one CRTM interurban bus journey from Moncloa to Las Rozas Village on Line 625, 628 or 629. It excludes the free final access and outlet parking; check the current zone fare before travel.",,exact,https://www.thebicestercollection.com/las-rozas-village/en/visit/getting-here,CRTM,Las Rozas Village,,,,,,,,
malaga-centro-to-designer-outlet-train,designer-outlet-malaga,cityCenter,train,Renfe Cercanías,C1,Málaga Centro-Alameda,Designer Outlet Málaga,12,12,2,4,EUR,estimated,The estimated EUR 2–4 fare covers one Renfe Cercanías C1 journey from Málaga Centro-Alameda or Málaga-María Zambrano to Plaza Mayor. It is a city-centre estimate rather than the airport one-stop fare and excludes the free final pedestrian access; check the current Renfe fare.,,exact,https://www.mcarthurglen.com/en/outlets/es/designer-outlet-malaga/plan-your-visit/,Renfe Cercanías,Plaza Mayor,,,,,,,,
barcelona-to-viladecans-style-outlets-train,viladecans-the-style-outlets,cityCenter,train,Rodalies de Catalunya / Renfe,R2 / R2 Sud,Barcelona Sants,Viladecans The Style Outlets,,,3,6,EUR,estimated,The estimated EUR 3–6 fare covers one Rodalies journey from the stored Barcelona city-centre origin via Barcelona Sants to Viladecans. The final walk of less than 100 metres is free and excluded; check the current Rodalies fare and applicable zone before travel.,,exact,https://www.viladecans.cat/en/viladecans-style-outlets,Rodalies de Catalunya / Renfe,Viladecans,true,,,Viladecans is approximately five minutes on foot from the centre.,,,,
barcelona-to-la-roca-village-shopping-express,la-roca-village,shuttle,shuttle,Shopping Express / Catalunya Bus Turístic,,Estació del Nord,La Roca Village,40,40,20,30,EUR,estimated,The current coach price could not be reverified as an exact official fare. The conservative estimated EUR 20–30 return range covers the recommended direct Shopping Express coach round trip from Barcelona Estació del Nord to La Roca Village; check the current official booking price and do not rely on expired promotions.,,exact,https://www.thebicestercollection.com/la-roca-village/en/getting-here/shopping-express-vueling,,,,,,,,,,
palma-to-mallorca-fashion-outlet-train,mallorca-fashion-outlet,cityCenter,train,TIB / SFM,T1 / T2 / T3,Palma Estació Intermodal,Mallorca Fashion Outlet,,,2,4,EUR,estimated,"The estimated EUR 2–4 fare covers one TIB/SFM rail journey from Palma Estació Intermodal to Es Caülls on T1, T2 or T3. The final pedestrian connection is free and excluded; check the current zonal fare before travel.",,exact,https://www.tib.org/en/linies-i-horaris/tren,TIB / SFM,Es Caülls,true,,,,,,,
seville-to-sevilla-fashion-outlet-car-parking,sevilla-fashion-outlet,cityCenter,taxi,,,Sevilla,Sevilla Fashion Outlet,15,15,20,30,EUR,estimated,"The conservative range is derived from the route distance and applicable regulated taxi tariff. The estimated EUR 20–30 range covers a licensed taxi or private transfer from the stored Seville city-centre origin to Sevilla Fashion Outlet under normal daytime conditions. It excludes free outlet parking; traffic, supplements, luggage, night, weekend or booking charges may change the final fare. The discontinued outlet bus is not included.",,exact,https://www.sevillafashionoutlet.com/en/visit-sevilla,,,,,,,,,,
getafe-style-outlets-car-parking-guide,getafe-the-style-outlets,taxiUber,taxi,,,Madrid / Getafe,Getafe The Style Outlets,,,30,45,EUR,estimated,"The conservative range is derived from the route distance and applicable regulated taxi tariff. The estimated EUR 30–45 range covers a licensed taxi or private transfer from the stored Madrid city-centre origin to Getafe The Style Outlets under normal daytime conditions, not a short local Getafe trip. It excludes outlet parking; traffic, supplements, luggage, night, weekend or booking charges may change the final fare.",,partial,https://getafe.thestyleoutlets.es/en/how-to-get-there,,,true,,,,,,,
san-sebastian-reyes-style-outlets-car-parking-guide,san-sebastian-de-los-reyes-the-style-outlets,taxiUber,taxi,,,Madrid / San Sebastián de los Reyes,San Sebastián de los Reyes The Style Outlets,,,30,45,EUR,estimated,"The conservative range is derived from the route distance and applicable regulated taxi tariff. The estimated EUR 30–45 range covers a licensed taxi or private transfer from the stored Madrid city-centre origin to San Sebastián de los Reyes The Style Outlets under normal daytime conditions, not a short local trip. It excludes outlet parking; traffic, supplements, luggage, night, weekend or booking charges may change the final fare.",,partial,https://ss-de-los-reyes.thestyleoutlets.es/en/how-to-get-there,,,true,,,,,,,
a-coruna-airport-to-coruna-style-outlets-ground-transport,coruna-the-style-outlets,airport,taxi,,,A Coruña (LCG),Coruña The Style Outlets,,,7,12,EUR,estimated,"The conservative range is derived from the documented short airport-origin route and applicable regulated taxi tariff. The estimated EUR 7–12 range covers the short licensed taxi journey from the stored A Coruña Airport (LCG) origin to Coruña The Style Outlets under normal daytime conditions, rather than a city-centre journey. It excludes free outlet parking; traffic, airport or other supplements, luggage, night, weekend or booking charges may change the final fare.",,partial,https://coruna.thestyleoutlets.es/en/how-to-get-there,,,true,,,,,,,
sambil-madrid-metro-guide,sambil-madrid,cityCenter,metro,Metro de Madrid / CRTM,11,Plaza Elíptica,Sambil Madrid,,,2,5,EUR,estimated,"The estimated EUR 2–5 fare covers the CRTM/Metro journey from the stored Madrid city-centre origin to La Fortuna on Metro Line 11, including the documented B1 fare-zone requirement. The final walk to Sambil Madrid is free and excluded; check the current ticket and zone rules before travel.",,exact,https://www.leganes.org/equipamientos-comerciales,Metro de Madrid / CRTM,La Fortuna,true,,,,,,,
vienna-to-parndorf-train-bus,designer-outlet-parndorf,cityCenter,train,ÖBB,Wien Hauptbahnhof → Parndorf Ort,Wien Hauptbahnhof,Designer Outlet Parndorf,,,5,20,EUR,estimated,The official outlet and ÖBB publish rail access to Parndorf Ort followed by the official train-station bus to Designer Outlet Parndorf. The estimated EUR 5–20 range preserves the repository's verified pre-completion rail-and-bus estimate; check both current fares and timetables before travel.,,exact,https://www.mcarthurglen.com/en/outlets/at/designer-outlet-parndorf/plan-your-visit/,ÖBB,Parndorf Ort,true,"[""Parndorf Ort station bus → Designer Outlet Parndorf""]",,,,,,
paris-to-la-vallee-rer-a,la-vallee-village,cityCenter,train,RATP / SNCF,RER A,Central Paris RER A station,La Vallée Village,45,60,3,5,EUR,estimated,"The official outlet publishes the RER A route to Val d'Europe. The estimated EUR 3–5 range conservatively allows for the current Île-de-France rail ticket from central Paris; check the current RATP, Île-de-France Mobilités or SNCF price before travel.","Confirm live RER A service with RATP, Île-de-France Mobilités, or SNCF.",exact,https://www.thebicestercollection.com/la-vallee-village/en/getting-here/rer-train/,RATP / SNCF,Val d'Europe / Serris-Montévrain,,,,Walk through Val d'Europe shopping centre to La Vallée Village.,,,,
cdg-to-la-vallee-tgv-rer,la-vallee-village,airport,train,SNCF / RATP,TGV / RER A,Paris Charles de Gaulle Airport Terminal 2 SNCF/TGV station,La Vallée Village,25,45,5,25,EUR,estimated,,Confirm SNCF/TGV and RER A times before buying tickets.,exact,,SNCF / RATP,Val d'Europe / Serris-Montévrain,,"[""Marne-la-Vallée Chessy""]",,Walk through Val d'Europe shopping centre to La Vallée Village.,,,,
paris-to-la-vallee-shopping-express,la-vallee-village,shuttle,shuttle,Shopping Express,,Hotel Pullman Paris Bercy,La Vallée Village,45,60,25,30,EUR,estimated,,Reservation is required; confirm departure and return times on the official booking page.,exact,,,,,,,,,,,
marseille-to-provence-train-bus,designer-outlet-provence,cityCenter,train,SNCF TER / Premium BAM,TER → Miramas FS → Premium BAM,Marseille Saint-Charles,Designer Outlet Provence,,,13,20,EUR,estimated,The estimated EUR 13–20 total range preserves the repository's verified pre-completion Marseille–Miramas rail and local-transfer estimate and allows for current SNCF TER and Premium BAM pricing; check both operator prices before travel.,,exact,https://www.mcarthurglen.com/en/outlets/fr/designer-outlet-provence/plan-your-visit/,SNCF TER / Premium BAM,,true,,,,,,,
troyes-station-to-designer-outlet-troyes-bus,designer-outlet-troyes,cityCenter,bus,TCAT,1,Gare Voltaire,Designer Outlet Troyes,20,20,2,3,EUR,estimated,The estimated EUR 2–3 range conservatively covers the current TCAT Line 1 local-bus ticket from Gare Voltaire to Magasins; check the current TCAT price before travel.,,exact,https://www.mcarthurglen.com/en/outlets/fr/designer-outlet-troyes/services/,TCAT,Magasins,,,,,,,,
la-verpilliere-to-the-village-outlet-walk,the-village-outlet,cityCenter,walking,,,La Verpillière,The Village Outlet,12,12,,,,,The official outlet publishes the 12-minute walking route from La Verpillière. The walking route itself is free; any separate rail journey to La Verpillière is not included.,,exact,https://thevillageoutlet.com/page/acces,,,,,,,,,,
lille-to-roubaix-designer-outlet-public-transport,roubaix-designer-outlet,cityCenter,metro,Ilévia,M2,Gare Lille Flandres,Roubaix Designer Outlet,,,2,3,EUR,estimated,The estimated EUR 2–3 range conservatively covers a current Ilévia M2 ticket from Gare Lille Flandres to Roubaix Eurotéléport; check the current Ilévia price before travel.,,exact,https://www.mcarthurglen.com/en/outlets/fr/designer-outlet-roubaix/plan-your-visit/,Ilévia,Roubaix Eurotéléport,true,,,Roubaix Eurotéléport is approximately one minute on foot from the outlet.,,,,
